company_permalink,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/-fame,/funding-round/9a01d05418af9f794eebff7ace91f638,venture,B,05/01/2015,10000000
/ORGANIZATION/-QOUNTER,/funding-round/22dacff496eb7acb2b901dec1dfe5633,venture,A,14/10/2014,
/organization/-qounter,/funding-round/b44fbb94153f6cdef13083530bb48030,seed,,01/03/2014,700000
/ORGANIZATION/-THE-ONE-OF-THEM-INC-,/funding-round/650b8f704416801069bb178a1418776b,venture,B,30/01/2014,3406878
/organization/0-6-com,/funding-round/5727accaeaa57461bd22a9bdd945382d,venture,A,19/03/2008,2000000
/ORGANIZATION/004-TECHNOLOGIES,/funding-round/1278dd4e6a37fa4b7d7e06c21b3c1830,venture,,24/07/2014,
/organization/01games-technology,/funding-round/7d53696f2b4f607a2f2a8cbb83d01839,undisclosed,,01/07/2014,41250
/ORGANIZATION/0NDINE-BIOMEDICAL-INC,/funding-round/2b9d3ac293d5cdccbecff5c8cb0f327d,seed,,11/09/2009,43360
/organization/0ndine-biomedical-inc,/funding-round/954b9499724b946ad8c396a57a5f3b72,venture,,21/12/2009,719491
/ORGANIZATION/0XDATA,/funding-round/383a9bd2c04f7038bb543ccef5ba3eae,seed,,22/05/2013,3000000
/organization/0xdata,/funding-round/3bb2ee4a2d89251a10aaa735b1180e44,venture,B,09/11/2015,20000000
/ORGANIZATION/0XDATA,/funding-round/ae2a174c06517c2394aed45006322a7e,venture,,03/01/2013,1700000
/organization/0xdata,/funding-round/e1cfcbe1bdf4c70277c5f29a3482f24e,venture,A,19/07/2014,8900000
/ORGANIZATION/1,/funding-round/03b975068632eba5bfdb937ec8c07a68,seed,,05/02/2014,150000
/organization/1,/funding-round/5de6d8828aef7d925d97918d15727670,undisclosed,,05/02/2013,
/ORGANIZATION/1,/funding-round/e82464f22241715dd1a6c77241055ed1,seed,,20/07/2011,1000050
/organization/1-2-3-listo,/funding-round/6de4609e894495105bc791ed64361288,seed,,18/02/2013,40000
/ORGANIZATION/1-4-ALL,/funding-round/e97a192e13ea0ee3c4f71136b4f3ec16,equity_crowdfunding,,21/04/2013,
/organization/1-618-technology,/funding-round/83b8f4c7d37ecef5e001a5e953bf461a,equity_crowdfunding,,22/01/2014,
/ORGANIZATION/1-800-DENTIST,/funding-round/5274aacc211163fc7c86539ce94bbacc,undisclosed,,19/08/2010,
/organization/1-800-doctors,/funding-round/9eb8c7790a0c200d79e75785d1c4aa12,convertible_note,,02/03/2011,1750000
/ORGANIZATION/1-800-PUBLICRELATIONS-INC-,/funding-round/11c228f58831bc7ed337ef69ecc560c2,private_equity,,01/02/2015,6000000
/organization/1-mainstream,/funding-round/b952cbaf401f310927430c97b68162ea,venture,,17/03/2015,5000000
/ORGANIZATION/1-OF-99,/funding-round/b5c811f561cfb5701cd5b1762120bbc3,convertible_note,,13/12/2014,100000
/organization/10-20-media,/funding-round/436874dc54b54460f99f44c06e50990a,debt_financing,,11/01/2011,800000
/ORGANIZATION/10-20-MEDIA,/funding-round/8025ee9c11a586eac4a234ddec7beb30,debt_financing,,18/06/2009,500000
/organization/10-20-media,/funding-round/a884bf8326b9fd59789c0f74a28dbc3b,debt_financing,,28/12/2011,500000
/ORGANIZATION/10-20-MEDIA,/funding-round/d205f5416ce55e126beda3ed2bf2c2cd,debt_financing,,30/03/2010,250000
/organization/10-minutes-with,/funding-round/0faccbbcc5818dc5326469f13f5a8ac8,venture,A,09/10/2014,4000000
/ORGANIZATION/10-MINUTES-WITH,/funding-round/f245a74b4c54610ae843e17bdf4d1113,seed,,01/01/2013,400000
/organization/1000-corks,/funding-round/8f4fa70e24269ddd8bdf6658906b356b,seed,,23/08/2011,40000
/ORGANIZATION/1000-MARKETS,/funding-round/ce6749b6441f52ccaf38b6d5578779fd,seed,,15/05/2009,500000
/organization/1000chi,/funding-round/854fae13c5b26b2ea6b32b06c2e5890c,angel,,01/04/2010,43923865
/ORGANIZATION/1000LOOKZ,/funding-round/e07f6e580046d00c7aeb33fafb9d90a3,venture,,22/07/2013,
/organization/1000memories,/funding-round/502bd0e50c27616995e4bdad24605ef8,venture,A,16/02/2011,2520000
/ORGANIZATION/1000MEMORIES,/funding-round/f5fb428ed1e63321f88b3e646ba85f00,seed,,01/01/2010,15000
/organization/1000museums-com,/funding-round/01c1aa44619ae45a16e3098fc73facfa,debt_financing,,08/04/2013,647879
/ORGANIZATION/1000MUSEUMS-COM,/funding-round/0953b01a028ac4cd075415554cb363b4,debt_financing,,19/09/2014,500000
/organization/1000museums-com,/funding-round/13be128d655076a025221d7fddc90d68,venture,,14/10/2009,265940
/ORGANIZATION/1000MUSEUMS-COM,/funding-round/6aeb32ab3fc05db2b606d7a2466e8c09,venture,,15/01/2014,2906832
/organization/1000museums-com,/funding-round/6dcccfea326e6add866bf67aafb0a7df,convertible_note,,01/12/2014,
/ORGANIZATION/1000MUSEUMS-COM,/funding-round/89317984885b44f02e4befb9dc2e588c,venture,,01/08/2014,1500000
/organization/1000museums-com,/funding-round/adf2f3272af9f552b87e01f10f0b9234,venture,,01/02/2014,
/ORGANIZATION/1000MUSEUMS-COM,/funding-round/f8e256ceacabe73fa5d4c217f00f50b3,debt_financing,,13/11/2015,332800
/organization/1000museums-com,/funding-round/fd1b3064232ba9b3cfb5653a619e82e8,venture,,05/04/2011,642000
/ORGANIZATION/1001-MENUS,/funding-round/6364929e6f6c94921f9c853f53b10b7a,seed,,15/12/2012,390000
/organization/1001-menus,/funding-round/645b4cd895450b8e0268027cd7813047,venture,B,04/11/2015,6602694
/ORGANIZATION/1001-MENUS,/funding-round/8025123b90c1ab687f9857ffe18bfd3b,venture,A,13/11/2013,1736910
/organization/1001-menus,/funding-round/9d6619bf66478dd8bf19bfc8dc237770,seed,,27/12/2012,132169
/ORGANIZATION/1001-MENUS,/funding-round/b6c28ea4ebe32db7083052cf87e7c368,venture,A,25/10/2013,1800000
/organization/1001pharmacies-com,/funding-round/a21fc4d20200f43e3a25fd9cfc7c1482,venture,A,09/07/2015,8900000
/ORGANIZATION/1006-TV,/funding-round/a3631227d5232aa8c2303f252c4f1f87,angel,,01/01/2011,
/organization/1006-tv,/funding-round/b6aeb7401ec6993f92a16cbca153b600,venture,B,31/07/2014,10000000
/ORGANIZATION/1006-TV,/funding-round/c4dd206906e8f6834dde0eb9681002ac,venture,A,01/01/2013,
/organization/100du-tv,/funding-round/46a9d3228f69c036e8076f1362ac58cd,venture,C,13/08/2010,
/ORGANIZATION/100DU-TV,/funding-round/8797d60368bb0227f0d0ab4c72aef886,venture,A,07/01/2008,3000000
/organization/100e-com,/funding-round/22a86670d1055d7bafce665b27e91871,venture,,01/01/2006,3000000
/ORGANIZATION/100E-COM,/funding-round/a136f7eb873dfb13cec839fef7d7f51e,venture,,01/09/2006,1500000
/organization/100health,/funding-round/441cefff29e87a7b0bcd644b7dbe59c1,seed,,26/11/2014,470000
/ORGANIZATION/100HEALTH,/funding-round/502f558bee350299fd1ae503e5b9a124,venture,A,20/10/2015,3530000
/organization/100plus,/funding-round/57ce16d039aa0c61d966397f6db00b02,seed,,30/11/2011,750000
/ORGANIZATION/100PLUS,/funding-round/b5facb0d9dea2f0352b5834892c88c53,venture,,02/11/2011,500000
/organization/1010data,/funding-round/482fbf992b48f5c47d0080ab7ec0cb54,venture,,08/03/2010,35000000
